,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140901032000,18.3,88.3,0,0.41,1.34,201.2,17.4,0,115,13.9,13.9,13.9,1.3
20140901032500,18.4,87.9,0,0.44,1.93,182.9,17.5,0,133,13.9,13.9,13.9,1.3
20140901033000,18.4,87.2,0,0.82,2.68,198.9,48.1,0,110,13.9,13.9,13.9,1.4
20140901033500,18.5,87.1,0,0.43,2.38,168.8,48.6,0,76,13.9,13.9,13.9,1.4
20140901034000,18.5,86.9,0,0.73,3.13,153.5,67.7,0,87,13.9,13.9,13.9,1.4
20140901034500,18.4,87.3,0,0.7,2.83,311.6,96,0,97,13.9,13.9,13.9,1.4
20140901035000,18.4,87.7,0,0.56,1.63,206.4,66.9,0,110,13.9,13.9,13.9,1.3
20140901035500,18.4,88.2,0,0.2,0.74,262.7,0,0,99,13.9,13.9,13.9,1.3
20140901040000,18.4,88.5,0,0.38,1.63,227.4,39.6,0,108,13.9,13.9,13.9,1.3
20140901040500,18.4,88.7,0,0.33,1.93,266.7,47.5,0,108,13.5,13.9,13.9,1.2
20140901041000,18.4,88.7,0,0.55,1.79,214.3,49.5,0,161,13.9,13.9,14,1.2
20140901041500,18.5,88.5,0,0.41,1.63,198.7,22.5,0,159,13.9,13.9,13.9,1.3
20140901042000,18.6,88.1,0,0.41,1.63,0.7,11.9,0,93,13.9,13.9,13.9,1.3
20140901042500,18.6,87.5,0,0.81,2.53,164.1,61.7,0,80,13.9,13.9,13.9,1.4
20140901043000,18.6,87.1,0,0.3,1.49,171.9,15.4,0,81,13.9,13.9,13.9,1.4
20140901043500,18.7,86.7,0,0.56,2.08,149.7,20,0,55,13.8,13.9,13.9,1.5
20140901044000,18.7,86.4,0,0.6,2.53,182.9,35.4,0,50,13.5,13.7,13.9,1.5
20140901044500,18.7,86,0,0.46,1.34,193,19.8,0,57,13.5,13.6,13.6,1.5
20140901045000,18.7,85.8,0,0.38,1.79,225.6,36.1,0,80,13.6,13.8,13.9,1.6
20140901045500,18.8,85.5,0,0.49,1.93,194.9,34.6,0,83,13.7,13.8,13.9,1.6
20140901050000,18.8,85.4,0,0.34,1.93,181,6.1,0,77,13.9,13.9,13.9,1.6
20140901050500,18.9,85.2,0,0.62,1.79,177.3,6.7,0,71,13.4,13.7,13.9,1.6
20140901051000,18.9,85.1,0,0.53,1.93,164.8,9.1,0,117,13.9,13.9,13.9,1.7
20140901051500,18.9,84.8,0,0.47,1.79,149.6,40.7,0,125,13.9,13.9,13.9,1.7
20140901052000,19,84.7,0,0.77,3.13,181.9,27.4,0,114,13.9,13.9,13.9,1.7
20140901052500,19,84.7,0,0.78,2.53,168.9,26.3,0,149,13.9,13.9,13.9,1.7
20140901053000,19,84.4,0,0.43,1.79,192.2,29,0,122,13.9,13.9,13.9,1.7
