,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC),72
20140909010000,19.5,51.7,0.14,0.82,2.53,101.8,23.1,0,800,13.8,13.8,13.8,5.8,72
20140909010500,19.8,51,0,0.74,2.38,88,45.6,0,794,13.8,13.8,13.8,6,72
20140909011000,19.9,50.5,0,1.24,3.13,86.8,53.5,0,751,13.8,13.8,13.8,6.1,72
20140909011500,20,49.9,0,0.96,2.53,123.7,18,0,771,13.8,13.8,13.8,6.2,72
20140909012000,20.2,49.3,0,1.82,4.17,120.9,19.4,0,795,13.8,13.8,13.8,6.3,72
20140909012500,20.4,48.6,0,0.87,2.38,149.6,40.3,0,785,13.8,13.8,13.8,6.4,72
20140909013000,20.2,48.7,0,0.92,2.38,7,62.3,0,788,13.7,13.8,13.8,6.4,72
20140909013500,20.6,47.5,0,0.56,1.63,105.5,12.9,0,768,13.7,13.8,13.8,6.6,72
20140909014000,20.4,46.9,0,0.77,2.24,61.6,33.4,0,756,13.7,13.7,13.8,6.7,72
20140909014500,20.3,47.2,0,0.85,1.79,126.1,34.6,0,747,13.7,13.7,13.7,6.6,72
20140909015000,20.7,47.3,0,0.61,1.79,66.2,56.6,0,735,13.7,13.7,13.7,6.7,72
20140909015500,20.8,47.2,0,1.37,3.43,274.2,18.7,0,647,13.7,13.7,13.7,6.7,72
20140909020000,20.6,47.6,0.29,1.4,3.43,282.9,13.7,0,320,13.7,13.7,13.7,6.6,72
20140909020500,20.4,48,0,1.35,2.38,314.5,16.4,0,382,13.7,13.7,13.8,6.5,72
20140909021000,19.8,49.2,0.29,1.16,1.93,336.6,19.4,0,197,13.7,13.8,13.8,6.2,72
20140909021500,19.8,49.3,0,0.83,1.93,334.1,31.7,0,216,13.8,13.8,13.8,6.2,72
20140909022000,19.9,47.9,0,0.42,1.19,322.7,0,0,203,13.8,13.8,13.8,6.4,72
20140909022500,20.2,46.6,0,0.78,2.24,289.8,14.4,0,185,13.8,13.8,13.8,6.7,72
20140909023000,20.2,46,0.14,1.1,2.08,284,4.9,0,243,13.8,13.8,13.8,6.8,72
20140909023500,20.3,46.6,0,0.34,0.89,279.5,0,0,386,13.8,13.8,13.8,6.7,72
20140909024000,20.5,45.5,0.29,0.92,1.79,278.2,0,0,623,13.8,13.8,13.8,6.9,72
20140909024500,20.5,45.6,0,0.5,1.49,286,24.5,0,308,13.8,13.8,13.8,6.9,72
20140909025000,20.3,46.6,0,0.96,2.53,2.7,89.3,0,184,13.8,13.8,13.8,6.7,72
20140909025500,20,47.6,0,0.9,2.24,133.3,7.4,0,171,13.8,13.8,13.8,6.5,72
20140909030000,20.1,46.9,0,1.55,2.98,136.1,9.1,0,176,13.8,13.8,13.8,6.6,72
20140909030500,20.2,46.7,0.29,1,1.79,137.8,3.6,0,187,13.7,13.8,13.8,6.7,72
20140909031000,20.5,45.9,0,0.52,1.34,135.5,11,0,227,13.8,13.8,13.8,6.8,72
20140909031500,20.5,45.2,0,0.36,1.04,107,3,0,315,13.8,13.8,13.8,6.9,72
20140909032000,20.7,44,0.14,0.93,2.08,109.4,3.8,0,561,13.8,13.8,13.8,7.2,72
20140909032500,21.1,43.2,0,0.48,1.63,141.9,9.6,0,531,13.8,13.8,13.8,7.4,72
20140909033000,21.8,41.6,0,0.52,1.34,170.1,0,0,597,13.8,13.8,13.8,7.7,72
20140909033500,21.8,41.4,0,0.56,1.63,169,0,0,566,13.8,13.8,13.8,7.8,72
20140909034000,21.4,43.5,0.14,0.75,2.08,150.1,23.6,0,600,13.8,13.8,13.8,7.4,72
20140909034500,21.3,44,0.29,1.28,3.43,32,61.7,0,496,13.7,13.8,13.8,7.3,72
20140909035000,21.1,44.6,0,1.01,2.68,99.6,40.7,0,502,13.7,13.7,13.8,7.1,72
20140909035500,21.2,43.9,0,1.13,3.58,106.3,25.8,0,465,13.7,13.7,13.8,7.3,72
20140909040000,21,44.6,0,0.59,1.93,17.7,41.7,0,184,13.7,13.8,13.8,7.1,72
20140909040500,20.7,45.1,0,0.92,2.53,24.7,38,0,159,13.7,13.8,13.8,7,72
20140909041000,20.6,45.6,0,0.84,2.53,109.7,68,0,150,13.8,13.8,13.8,6.9,72
20140909041500,20.6,45.5,0,0.35,1.19,51.6,59.1,0,136,13.8,13.8,13.8,6.9,72
20140909042000,20.6,45.8,0,1.04,2.98,124.1,38.8,0,151,13.8,13.8,13.8,6.9,72
20140909042500,20.6,45.7,0,0.79,2.98,131.6,10.5,0,161,13.8,13.8,13.8,6.9,72
20140909043000,20.7,45.1,0,0.9,2.24,152.1,11.3,0,176,13.8,13.8,13.8,7,72
20140909043500,20.8,45.2,0,0.48,1.79,74.8,42.1,0,217,13.8,13.8,13.8,7,72
20140909044000,20.7,44.9,0,0.58,1.49,72.9,50.5,0,252,13.8,13.8,13.8,7,72
20140909044500,20.8,44.8,0,0.49,1.34,38.4,6.4,0,223,13.8,13.8,13.8,7.1,72
20140909045000,21.1,44.7,0,0.23,1.34,41.8,4.4,0,183,13.8,13.8,13.8,7.1,72
20140909045500,20.8,44.4,0.14,0.79,2.68,328.2,31.5,0,194,13.8,13.8,13.8,7.1,72
20140909050000,20.8,44.2,0,0.61,1.63,333.9,6.5,0,220,13.8,13.8,13.8,7.1,72
20140909050500,20.9,43.5,0.14,1.23,4.03,346.9,23.3,0,326,13.8,13.8,13.8,7.3,72
20140909051000,20.9,43.4,0,0.83,2.38,341.5,24.8,0,352,13.8,13.8,13.8,7.3,72
20140909051500,21.2,42.5,0,0.81,3.87,345.9,22.4,0,318,13.8,13.8,13.8,7.5,72
20140909052000,21.1,46.1,0,0.97,3.73,358.9,57,0,288,13.8,13.8,13.8,6.9,72
20140909052500,20.8,48.3,0.14,1.05,2.83,89.9,34.9,0,223,13.8,13.8,13.8,6.6,72
20140909053000,20.8,48.7,0.14,1.08,3.87,35,59,0,198,13.8,13.8,13.8,6.5,72
20140909053500,20.5,49.8,0,1.32,4.03,81.1,77,0,157,13.8,13.8,13.8,6.3,72
20140909054000,20.4,50.4,0,0.8,2.38,29.8,57.4,0,141,13.8,13.8,13.8,6.2,72
20140909054500,20.4,51,0.14,1.39,4.17,117.9,55.1,0,136,13.8,13.8,13.8,6.1,72
20140909055000,20,52.4,0.44,2.1,4.62,135.3,30.2,0,115,13.8,13.8,13.8,5.8,72
20140909055500,19.8,53,0.29,1.96,4.77,122.2,55.7,0,98,13.8,13.8,13.8,5.7,72
20140909060000,19.7,53.2,0.14,1.73,5.37,128.1,17,0,133,13.8,13.8,13.9,5.7,72
20140909060500,19.7,52.9,0.59,2.8,5.22,120.5,32.1,0,116,13.7,13.8,13.9,5.7,72
20140909061000,19.6,53.8,0,0.92,3.73,83.7,55.1,0,119,13.8,13.9,13.9,5.6,72
20140909061500,19.6,53.6,0,0.83,2.98,93,73.6,0,116,13.8,13.9,13.9,5.6,72
20140909062000,19.5,53.3,0,1.57,3.58,120.6,25.9,0,91,13.8,13.9,13.9,5.6,72
20140909062500,19.4,53.5,0.29,1.74,4.17,116.9,24.1,0,75,13.8,13.9,13.9,5.6,72
20140909063000,19.4,54,0,1.41,3.73,113.6,29.2,0,48,13.5,13.7,13.9,5.5,72
20140909063500,19.3,54.5,0.14,1.45,3.28,132.1,33.4,0,44,13.5,13.5,13.5,5.4,72
20140909064000,19.2,54.8,0.14,2.15,4.92,120.5,21.6,0,48,13.4,13.4,13.5,5.4,72
20140909064500,19,55.5,0.14,2.47,4.32,122.8,26.8,0,48,13.4,13.5,13.5,5.3,72
20140909065000,19,55.6,0.14,1.58,4.48,93.2,33.4,0,44,13.4,13.4,13.5,5.3,72
20140909065500,19,55.8,0,1.46,3.87,117.2,27.7,0,38,13.4,13.4,13.4,5.2,72
20140909070000,18.9,56.1,0,1.32,3.43,122.7,19.4,0,31,13.3,13.4,13.4,5.2,72
20140909070500,18.7,56.8,0.14,1.98,4.32,119.4,19.1,0,25,13.2,13.3,13.3,5.1,72
20140909071000,18.7,57.2,0,0.84,3.13,84.3,37.7,0,19,13.2,13.3,13.3,5,72
20140909071500,18.7,57.4,0,0.56,1.93,82.4,42.7,0,11,13.2,13.2,13.3,5,72
20140909072000,18.7,57.8,0,0.69,3.28,112.4,42.6,0,8,13.2,13.2,13.2,4.9,72
20140909072500,18.6,58.1,0.14,1.26,3.28,125.9,30.9,0,5,13.2,13.2,13.2,4.9,72
20140909073000,18.5,58.6,0,0.87,2.83,129.9,30.6,0,3,13.2,13.2,13.2,4.8,72
20140909073500,18.5,58.9,0,0.57,2.83,151.5,70.7,0,1,13.2,13.2,13.2,4.8,72
20140909074000,18.4,59.1,0.14,1.75,4.17,128.4,46.2,0,1,13.2,13.2,13.2,4.7,72
20140909074500,18,59.6,0.44,2.71,4.77,125.9,16.5,0,1,13.2,13.2,13.2,4.6,72
20140909075000,18,59.8,0.14,1.31,2.98,126.1,23,0,1,13.2,13.2,13.2,4.6,72
20140909075500,18,59.9,0.14,1.15,2.68,124.2,7.7,0,1,13.2,13.2,13.2,4.6,72
20140909080000,17.9,60.1,0.59,2.22,4.17,124.9,16.5,0,1,13.2,13.2,13.2,4.5,72
20140909080500,17.7,60.5,0.74,2.11,4.03,124.8,22,0,1,13.1,13.2,13.2,4.5,72
20140909081000,17.7,60.8,0.29,1.47,3.43,124.6,24.7,0,1,13.2,13.2,13.2,4.4,72
20140909081500,17.6,61.1,0,1.16,4.17,97.8,35.8,0,1,13.2,13.2,13.2,4.4,72
20140909082000,17.5,61.4,0.44,1.73,4.17,122.4,24,0,1,13.2,13.2,13.2,4.3,72
20140909082500,17.5,61.9,0,1.68,3.43,124.5,19.2,0,1,13.2,13.2,13.2,4.3,72
20140909083000,17.5,61.9,0,1.36,3.28,121.5,21.1,0,1,13.2,13.2,13.2,4.3,72
20140909083500,17.4,61.8,0.29,1.73,3.58,127.6,20.4,0,1,13.2,13.2,13.2,4.3,72
20140909084000,17.3,62.2,0,1.86,4.17,106.5,32.9,0,1,13.2,13.2,13.2,4.2,72
20140909084500,17.2,62.6,0.14,1.73,4.17,134.1,21.9,0,1,13.2,13.2,13.2,4.1,72
20140909085000,17.2,62.7,0.14,1.24,3.28,130.4,26.7,0,1,13.1,13.2,13.2,4.1,72
20140909085500,17.1,63.1,0.29,1.99,4.32,125.6,17.8,0,1,13.1,13.2,13.2,4.1,72
20140909090000,17.1,63.4,0.29,1.27,3.13,114,14.1,0,1,13.2,13.2,13.2,4,72
20140909090500,17.1,63.5,0.14,0.94,2.68,103.7,14.4,0,1,13,13.1,13.2,4,72
20140909091000,17,63.7,0,0.48,1.79,153.1,38.8,0,1,13.1,13.2,13.2,4,72
20140909091500,17,64.2,0,0.71,2.68,158.5,22.5,0,1,13.2,13.2,13.2,3.9,72
20140909092000,16.9,64.8,0,1.18,3.43,127.8,18.2,0,1,13.2,13.2,13.2,3.8,72
20140909092500,16.8,65.4,0,0.82,2.98,118.3,12.3,0,1,13.1,13.2,13.2,3.8,72
20140909093000,16.7,66.1,0,1.12,2.68,122.4,18.7,0,1,13.1,13.2,13.2,3.7,72
20140909093500,16.6,66.5,0.29,1.44,3.43,111.9,29.7,0,1,13.2,13.2,13.2,3.6,72
20140909094000,16.5,67.2,0.14,1.61,3.43,116.9,22.1,0,1,13.1,13.2,13.2,3.5,72
20140909094500,16.5,67.6,0.29,1.37,2.98,112.4,25.4,0,1,13.1,13.2,13.2,3.5,72
20140909095000,16.4,68.3,0.14,1.01,2.83,96.9,30.2,0,1,13.1,13.2,13.2,3.4,72
20140909095500,16.4,68.7,0.14,1.25,3.13,123.2,19,0,1,13.1,13.2,13.2,3.3,72
20140909100000,16.3,69.2,0,0.81,2.53,124.3,25.9,0,1,13.1,13.2,13.2,3.3,72
20140909100500,16.3,69.5,0,0.92,3.73,123,18.1,0,1,13,13.1,13.1,3.2,72
20140909101000,16.2,70,0,0.92,2.83,111.4,20.6,0,1,13.1,13.1,13.2,3.2,72
20140909101500,16.2,70.2,0.14,1.01,2.68,123.1,16.8,0,1,13.1,13.1,13.1,3.2,72
20140909102000,16.1,70.2,0.44,1.28,3.28,130.3,20,0,1,13.1,13.1,13.1,3.1,72
20140909102500,16.1,70.4,0,1.05,3.28,109.8,17.4,0,1,13.1,13.1,13.1,3.1,72
20140909103000,16,70.6,0.14,1.15,3.87,128.9,11.4,0,1,13.1,13.1,13.1,3.1,72
20140909103500,15.9,70.9,0,1.25,3.58,122.1,23,0,1,13.1,13.1,13.1,3,72
20140909104000,15.9,70.7,0,1.72,4.48,122.6,10.3,0,1,13.1,13.1,13.1,3.1,72
20140909104500,15.9,70.7,0.29,1.48,3.28,125.6,35.1,0,1,13.1,13.1,13.1,3.1,72
20140909105000,15.9,70.7,0.44,1.47,2.68,130.8,11.9,0,1,13.1,13.1,13.1,3.1,72
20140909105500,15.8,71,0.44,1.71,3.58,120.1,19.1,0,1,13.1,13.1,13.1,3,72
20140909110000,15.8,71.2,0.14,1.32,3.13,119.5,14.5,0,1,13.1,13.1,13.1,3,72
20140909110500,15.7,71.2,0,1.37,3.87,125.6,12.4,0,1,13,13.1,13.1,3,72
20140909111000,15.7,71.5,0.29,1.3,3.13,122,12.1,0,1,13.1,13.1,13.1,3,72
20140909111500,15.7,71.6,0.29,1.05,2.24,113.4,21.9,0,1,13.1,13.1,13.1,2.9,72
20140909112000,15.6,71.7,0,1.43,3.43,115.8,16.6,0,1,13.1,13.1,13.1,2.9,72
20140909112500,15.5,72,0.29,1.8,4.03,126.6,14.1,0,1,13.1,13.1,13.1,2.9,72
20140909113000,15.5,72.2,0.29,1.44,2.98,113.9,15.3,0,1,13.1,13.1,13.1,2.9,72
20140909113500,15.5,72.3,0.14,1.6,3.13,122.4,16,0,1,13.1,13.1,13.1,2.9,72
20140909114000,15.5,72.4,0.14,1.46,2.98,125.6,16.3,0,1,13.1,13.1,13.1,2.8,72
20140909114500,15.4,72.5,0.44,1.73,3.28,128,13.2,0,1,13.1,13.1,13.1,2.8,72
20140909115000,15.4,72.6,0.14,1.42,3.13,126.5,16.6,0,1,13.1,13.1,13.1,2.8,72
20140909115500,15.4,72.6,0,1.57,3.87,128.5,18.5,0,1,13.1,13.1,13.1,2.8,72
20140909120000,18.9,56.5,0,1.53,3.13,118.4,20.3,0,631,13.8,13.8,13.8,5.1,69
20140909120500,19.8,53.9,0,0.56,1.79,130.4,2.9,0,434,13.8,13.8,13.8,5.6,69
20140909121000,19.7,53.8,0,0.58,1.63,132.6,50.8,0,287,13.8,13.8,13.8,5.6,69
20140909121500,18.9,55.7,0,0.65,1.63,21.5,26.5,0,310,13.8,13.8,13.8,5.2,69
20140909122000,19.1,55.2,0,0.55,1.19,2.5,11.7,0,393,13.8,13.8,13.8,5.3,69
20140909122500,19,55.7,0,0.45,1.63,353.3,9.2,0,310,13.8,13.8,13.8,5.2,69
20140909123000,19,55.3,0.14,1.14,2.53,344.7,25.2,0,622,13.8,13.8,13.8,5.3,69
20140909123500,19.2,53.8,0,1.68,3.43,99.8,82.3,0,783,13.8,13.8,13.8,5.5,69
20140909124000,19,54.6,0,2.1,4.03,116.3,21.1,0,787,13.8,13.8,13.8,5.4,69
20140909124500,19.1,54.3,0.14,1.68,3.43,120.2,13.2,0,776,13.8,13.8,13.8,5.4,69
20140909125000,19.2,54.1,0,1.28,2.68,137.4,14.1,0,768,13.8,13.8,13.8,5.5,69
20140909125500,19.9,51.6,0.14,1.6,3.43,115,19.5,0,771,13.8,13.8,13.8,5.9,69
20140909130000,19.5,51.7,0.14,0.82,2.53,101.8,23.1,0,800,13.8,13.8,13.8,5.8,69
20140909130500,19.8,51,0,0.74,2.38,88,45.6,0,794,13.8,13.8,13.8,6,69
20140909131000,19.9,50.5,0,1.24,3.13,86.8,53.5,0,751,13.8,13.8,13.8,6.1,69
20140909131500,20,49.9,0,0.96,2.53,123.7,18,0,771,13.8,13.8,13.8,6.2,69
20140909132000,20.2,49.3,0,1.82,4.17,120.9,19.4,0,795,13.8,13.8,13.8,6.3,69
20140909132500,20.4,48.6,0,0.87,2.38,149.6,40.3,0,785,13.8,13.8,13.8,6.4,69
20140909133000,20.2,48.7,0,0.92,2.38,7,62.3,0,788,13.7,13.8,13.8,6.4,69
20140909133500,20.6,47.5,0,0.56,1.63,105.5,12.9,0,768,13.7,13.8,13.8,6.6,69
20140909134000,20.4,46.9,0,0.77,2.24,61.6,33.4,0,756,13.7,13.7,13.8,6.7,69
20140909134500,20.3,47.2,0,0.85,1.79,126.1,34.6,0,747,13.7,13.7,13.7,6.6,69
20140909135000,20.7,47.3,0,0.61,1.79,66.2,56.6,0,735,13.7,13.7,13.7,6.7,69
20140909135500,20.8,47.2,0,1.37,3.43,274.2,18.7,0,647,13.7,13.7,13.7,6.7,69
20140909140000,20.6,47.6,0.29,1.4,3.43,282.9,13.7,0,320,13.7,13.7,13.7,6.6,69
20140909140500,20.4,48,0,1.35,2.38,314.5,16.4,0,382,13.7,13.7,13.8,6.5,69
20140909141000,19.8,49.2,0.29,1.16,1.93,336.6,19.4,0,197,13.7,13.8,13.8,6.2,69
20140909141500,19.8,49.3,0,0.83,1.93,334.1,31.7,0,216,13.8,13.8,13.8,6.2,69
20140909142000,19.9,47.9,0,0.42,1.19,322.7,0,0,203,13.8,13.8,13.8,6.4,69
20140909142500,20.2,46.6,0,0.78,2.24,289.8,14.4,0,185,13.8,13.8,13.8,6.7,69
20140909143000,20.2,46,0.14,1.1,2.08,284,4.9,0,243,13.8,13.8,13.8,6.8,69
20140909143500,20.3,46.6,0,0.34,0.89,279.5,0,0,386,13.8,13.8,13.8,6.7,69
20140909144000,20.5,45.5,0.29,0.92,1.79,278.2,0,0,623,13.8,13.8,13.8,6.9,69
20140909144500,20.5,45.6,0,0.5,1.49,286,24.5,0,308,13.8,13.8,13.8,6.9,69
20140909145000,20.3,46.6,0,0.96,2.53,2.7,89.3,0,184,13.8,13.8,13.8,6.7,69
20140909145500,20,47.6,0,0.9,2.24,133.3,7.4,0,171,13.8,13.8,13.8,6.5,69
20140909150000,20.1,46.9,0,1.55,2.98,136.1,9.1,0,176,13.8,13.8,13.8,6.6,69
20140909150500,20.2,46.7,0.29,1,1.79,137.8,3.6,0,187,13.7,13.8,13.8,6.7,69
20140909151000,20.5,45.9,0,0.52,1.34,135.5,11,0,227,13.8,13.8,13.8,6.8,69
20140909151500,20.5,45.2,0,0.36,1.04,107,3,0,315,13.8,13.8,13.8,6.9,69
20140909152000,20.7,44,0.14,0.93,2.08,109.4,3.8,0,561,13.8,13.8,13.8,7.2,69
20140909152500,21.1,43.2,0,0.48,1.63,141.9,9.6,0,531,13.8,13.8,13.8,7.4,69
20140909153000,21.8,41.6,0,0.52,1.34,170.1,0,0,597,13.8,13.8,13.8,7.7,69
20140909153500,21.8,41.4,0,0.56,1.63,169,0,0,566,13.8,13.8,13.8,7.8,69
20140909154000,21.4,43.5,0.14,0.75,2.08,150.1,23.6,0,600,13.8,13.8,13.8,7.4,69
20140909154500,21.3,44,0.29,1.28,3.43,32,61.7,0,496,13.7,13.8,13.8,7.3,69
20140909155000,21.1,44.6,0,1.01,2.68,99.6,40.7,0,502,13.7,13.7,13.8,7.1,69
20140909155500,21.2,43.9,0,1.13,3.58,106.3,25.8,0,465,13.7,13.7,13.8,7.3,69
20140909160000,21,44.6,0,0.59,1.93,17.7,41.7,0,184,13.7,13.8,13.8,7.1,69
20140909160500,20.7,45.1,0,0.92,2.53,24.7,38,0,159,13.7,13.8,13.8,7,69
20140909161000,20.6,45.6,0,0.84,2.53,109.7,68,0,150,13.8,13.8,13.8,6.9,69
20140909161500,20.6,45.5,0,0.35,1.19,51.6,59.1,0,136,13.8,13.8,13.8,6.9,69
20140909162000,20.6,45.8,0,1.04,2.98,124.1,38.8,0,151,13.8,13.8,13.8,6.9,69
20140909162500,20.6,45.7,0,0.79,2.98,131.6,10.5,0,161,13.8,13.8,13.8,6.9,69
20140909163000,20.7,45.1,0,0.9,2.24,152.1,11.3,0,176,13.8,13.8,13.8,7,69
20140909163500,20.8,45.2,0,0.48,1.79,74.8,42.1,0,217,13.8,13.8,13.8,7,69
20140909164000,20.7,44.9,0,0.58,1.49,72.9,50.5,0,252,13.8,13.8,13.8,7,69
20140909164500,20.8,44.8,0,0.49,1.34,38.4,6.4,0,223,13.8,13.8,13.8,7.1,69
20140909165000,21.1,44.7,0,0.23,1.34,41.8,4.4,0,183,13.8,13.8,13.8,7.1,69
20140909165500,20.8,44.4,0.14,0.79,2.68,328.2,31.5,0,194,13.8,13.8,13.8,7.1,69
20140909170000,20.8,44.2,0,0.61,1.63,333.9,6.5,0,220,13.8,13.8,13.8,7.1,69
20140909170500,20.9,43.5,0.14,1.23,4.03,346.9,23.3,0,326,13.8,13.8,13.8,7.3,69
20140909171000,20.9,43.4,0,0.83,2.38,341.5,24.8,0,352,13.8,13.8,13.8,7.3,69
20140909171500,21.2,42.5,0,0.81,3.87,345.9,22.4,0,318,13.8,13.8,13.8,7.5,69
20140909172000,21.1,46.1,0,0.97,3.73,358.9,57,0,288,13.8,13.8,13.8,6.9,69
20140909172500,20.8,48.3,0.14,1.05,2.83,89.9,34.9,0,223,13.8,13.8,13.8,6.6,69
20140909173000,20.8,48.7,0.14,1.08,3.87,35,59,0,198,13.8,13.8,13.8,6.5,69
20140909173500,20.5,49.8,0,1.32,4.03,81.1,77,0,157,13.8,13.8,13.8,6.3,69
20140909174000,20.4,50.4,0,0.8,2.38,29.8,57.4,0,141,13.8,13.8,13.8,6.2,69
20140909174500,20.4,51,0.14,1.39,4.17,117.9,55.1,0,136,13.8,13.8,13.8,6.1,69
20140909175000,20,52.4,0.44,2.1,4.62,135.3,30.2,0,115,13.8,13.8,13.8,5.8,69
20140909175500,19.8,53,0.29,1.96,4.77,122.2,55.7,0,98,13.8,13.8,13.8,5.7,69
20140909180000,19.7,53.2,0.14,1.73,5.37,128.1,17,0,133,13.8,13.8,13.9,5.7,69
20140909180500,19.7,52.9,0.59,2.8,5.22,120.5,32.1,0,116,13.7,13.8,13.9,5.7,69
20140909181000,19.6,53.8,0,0.92,3.73,83.7,55.1,0,119,13.8,13.9,13.9,5.6,69
20140909181500,19.6,53.6,0,0.83,2.98,93,73.6,0,116,13.8,13.9,13.9,5.6,69
20140909182000,19.5,53.3,0,1.57,3.58,120.6,25.9,0,91,13.8,13.9,13.9,5.6,69
20140909182500,19.4,53.5,0.29,1.74,4.17,116.9,24.1,0,75,13.8,13.9,13.9,5.6,69
20140909183000,19.4,54,0,1.41,3.73,113.6,29.2,0,48,13.5,13.7,13.9,5.5,69
20140909183500,19.3,54.5,0.14,1.45,3.28,132.1,33.4,0,44,13.5,13.5,13.5,5.4,69
20140909184000,19.2,54.8,0.14,2.15,4.92,120.5,21.6,0,48,13.4,13.4,13.5,5.4,69
20140909184500,19,55.5,0.14,2.47,4.32,122.8,26.8,0,48,13.4,13.5,13.5,5.3,69
20140909185000,19,55.6,0.14,1.58,4.48,93.2,33.4,0,44,13.4,13.4,13.5,5.3,69
20140909185500,19,55.8,0,1.46,3.87,117.2,27.7,0,38,13.4,13.4,13.4,5.2,69
20140909190000,18.9,56.1,0,1.32,3.43,122.7,19.4,0,31,13.3,13.4,13.4,5.2,69
20140909190500,18.7,56.8,0.14,1.98,4.32,119.4,19.1,0,25,13.2,13.3,13.3,5.1,69
20140909191000,18.7,57.2,0,0.84,3.13,84.3,37.7,0,19,13.2,13.3,13.3,5,69
20140909191500,18.7,57.4,0,0.56,1.93,82.4,42.7,0,11,13.2,13.2,13.3,5,69
20140909192000,18.7,57.8,0,0.69,3.28,112.4,42.6,0,8,13.2,13.2,13.2,4.9,69
20140909192500,18.6,58.1,0.14,1.26,3.28,125.9,30.9,0,5,13.2,13.2,13.2,4.9,69
20140909193000,18.5,58.6,0,0.87,2.83,129.9,30.6,0,3,13.2,13.2,13.2,4.8,69
20140909193500,18.5,58.9,0,0.57,2.83,151.5,70.7,0,1,13.2,13.2,13.2,4.8,69
20140909194000,18.4,59.1,0.14,1.75,4.17,128.4,46.2,0,1,13.2,13.2,13.2,4.7,69
20140909194500,18,59.6,0.44,2.71,4.77,125.9,16.5,0,1,13.2,13.2,13.2,4.6,69
20140909195000,18,59.8,0.14,1.31,2.98,126.1,23,0,1,13.2,13.2,13.2,4.6,69
20140909195500,18,59.9,0.14,1.15,2.68,124.2,7.7,0,1,13.2,13.2,13.2,4.6,69
20140909200000,17.9,60.1,0.59,2.22,4.17,124.9,16.5,0,1,13.2,13.2,13.2,4.5,69
20140909200500,17.7,60.5,0.74,2.11,4.03,124.8,22,0,1,13.1,13.2,13.2,4.5,69
20140909201000,17.7,60.8,0.29,1.47,3.43,124.6,24.7,0,1,13.2,13.2,13.2,4.4,69
20140909201500,17.6,61.1,0,1.16,4.17,97.8,35.8,0,1,13.2,13.2,13.2,4.4,69
20140909202000,17.5,61.4,0.44,1.73,4.17,122.4,24,0,1,13.2,13.2,13.2,4.3,69
20140909202500,17.5,61.9,0,1.68,3.43,124.5,19.2,0,1,13.2,13.2,13.2,4.3,69
20140909203000,17.5,61.9,0,1.36,3.28,121.5,21.1,0,1,13.2,13.2,13.2,4.3,69
20140909203500,17.4,61.8,0.29,1.73,3.58,127.6,20.4,0,1,13.2,13.2,13.2,4.3,69
20140909204000,17.3,62.2,0,1.86,4.17,106.5,32.9,0,1,13.2,13.2,13.2,4.2,69
20140909204500,17.2,62.6,0.14,1.73,4.17,134.1,21.9,0,1,13.2,13.2,13.2,4.1,69
20140909205000,17.2,62.7,0.14,1.24,3.28,130.4,26.7,0,1,13.1,13.2,13.2,4.1,69
20140909205500,17.1,63.1,0.29,1.99,4.32,125.6,17.8,0,1,13.1,13.2,13.2,4.1,69
20140909210000,17.1,63.4,0.29,1.27,3.13,114,14.1,0,1,13.2,13.2,13.2,4,69
20140909210500,17.1,63.5,0.14,0.94,2.68,103.7,14.4,0,1,13,13.1,13.2,4,69
20140909211000,17,63.7,0,0.48,1.79,153.1,38.8,0,1,13.1,13.2,13.2,4,69
20140909211500,17,64.2,0,0.71,2.68,158.5,22.5,0,1,13.2,13.2,13.2,3.9,69
20140909212000,16.9,64.8,0,1.18,3.43,127.8,18.2,0,1,13.2,13.2,13.2,3.8,69
20140909212500,16.8,65.4,0,0.82,2.98,118.3,12.3,0,1,13.1,13.2,13.2,3.8,69
20140909213000,16.7,66.1,0,1.12,2.68,122.4,18.7,0,1,13.1,13.2,13.2,3.7,69
20140909213500,16.6,66.5,0.29,1.44,3.43,111.9,29.7,0,1,13.2,13.2,13.2,3.6,69
20140909214000,16.5,67.2,0.14,1.61,3.43,116.9,22.1,0,1,13.1,13.2,13.2,3.5,69
20140909214500,16.5,67.6,0.29,1.37,2.98,112.4,25.4,0,1,13.1,13.2,13.2,3.5,69
20140909215000,16.4,68.3,0.14,1.01,2.83,96.9,30.2,0,1,13.1,13.2,13.2,3.4,69
20140909215500,16.4,68.7,0.14,1.25,3.13,123.2,19,0,1,13.1,13.2,13.2,3.3,69
20140909220000,16.3,69.2,0,0.81,2.53,124.3,25.9,0,1,13.1,13.2,13.2,3.3,69
20140909220500,16.3,69.5,0,0.92,3.73,123,18.1,0,1,13,13.1,13.1,3.2,69
20140909221000,16.2,70,0,0.92,2.83,111.4,20.6,0,1,13.1,13.1,13.2,3.2,69
20140909221500,16.2,70.2,0.14,1.01,2.68,123.1,16.8,0,1,13.1,13.1,13.1,3.2,69
20140909222000,16.1,70.2,0.44,1.28,3.28,130.3,20,0,1,13.1,13.1,13.1,3.1,69
20140909222500,16.1,70.4,0,1.05,3.28,109.8,17.4,0,1,13.1,13.1,13.1,3.1,69
