,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC),72
20140901045000,18.7,85.8,0,0.38,1.79,225.6,36.1,0,80,13.6,13.8,13.9,1.6,72
20140901045500,18.8,85.5,0,0.49,1.93,194.9,34.6,0,83,13.7,13.8,13.9,1.6,72
20140901050000,18.8,85.4,0,0.34,1.93,181,6.1,0,77,13.9,13.9,13.9,1.6,72
20140901050500,18.9,85.2,0,0.62,1.79,177.3,6.7,0,71,13.4,13.7,13.9,1.6,72
20140901051000,18.9,85.1,0,0.53,1.93,164.8,9.1,0,117,13.9,13.9,13.9,1.7,72
20140901051500,18.9,84.8,0,0.47,1.79,149.6,40.7,0,125,13.9,13.9,13.9,1.7,72
20140901052000,19,84.7,0,0.77,3.13,181.9,27.4,0,114,13.9,13.9,13.9,1.7,72
20140901052500,19,84.7,0,0.78,2.53,168.9,26.3,0,149,13.9,13.9,13.9,1.7,72
20140901053000,19,84.4,0,0.43,1.79,192.2,29,0,122,13.9,13.9,13.9,1.7,72
20140901053500,19.1,84.1,0,0.45,1.93,164.1,16.7,0,154,13.9,13.9,13.9,1.8,72
20140901054000,19.2,83.6,0,0.52,1.49,165.3,16.2,0,155,13.9,13.9,13.9,1.8,72
20140901054500,19.2,83.1,0,0.84,2.68,163,11.5,0,136,13.9,13.9,13.9,1.9,72
20140901055000,19.3,83.3,0,0.31,1.34,171.2,0,0,131,13.9,13.9,13.9,1.9,72
20140901055500,19.3,83.1,0,0.3,1.34,177.9,14.7,0,94,13.9,13.9,13.9,1.9,72
20140901060000,19.2,83.2,0,0.59,2.38,230,57.2,0,79,13.9,13.9,13.9,1.9,72
20140901060500,19.2,83.4,0,0.38,1.93,300.3,54.7,0,70,13.4,13.6,13.9,1.9,72
20140901061000,19.2,83.2,0,0.53,2.53,193.2,30.1,0,69,13.8,13.9,13.9,1.9,72
20140901061500,19.2,83.1,0,0.49,1.63,231.5,54.7,0,61,13.6,13.8,13.9,1.9,72
20140901062000,19.3,83,0,0.42,1.49,187.6,6.8,0,58,13.6,13.6,13.6,1.9,72
20140901062500,19.3,83,0,0.45,1.63,185.6,10.5,0,55,13.5,13.5,13.6,1.9,72
20140901063000,19.3,83.1,0,0.34,1.19,231.7,1.8,0,37,13.4,13.5,13.5,1.9,72
20140901063500,19.2,83.1,0,0.33,1.79,209.1,27.8,0,35,13.4,13.4,13.4,1.9,72
20140901064000,19.2,83.3,0,0.34,1.93,184.3,13.8,0,39,13.4,13.4,13.4,1.9,72
20140901064500,19.2,83.4,0,0.24,1.93,201.1,25.4,0,28,13.3,13.3,13.4,1.9,72
20140901065000,19.2,83.4,0,0.51,2.08,228.2,28.4,0,25,13.3,13.3,13.3,1.9,72
20140901065500,19.1,84,0,0.6,2.24,181.4,17.3,0,21,13.3,13.3,13.3,1.8,72
20140901070000,19,84.9,0,0.35,1.49,179.2,8.8,0,10,13.2,13.3,13.3,1.7,72
20140901070500,18.9,85.7,0,0.43,1.93,167.5,0,0,5,13.1,13.2,13.3,1.6,72
20140901071000,18.9,86.4,0,0.39,2.38,133.3,40.1,0,7,13.2,13.2,13.2,1.5,72
20140901071500,18.9,87,0,0.26,0.89,182.4,0,0,7,13.2,13.2,13.2,1.4,72
20140901072000,18.6,87.3,0,0.86,2.08,259.4,44.5,0.2,3,13.2,13.2,13.2,1.4,72
20140901072500,18.4,87.5,0,0.63,1.63,253.3,17.5,0,1,13.2,13.2,13.2,1.4,72
20140901073000,18.4,87.7,0,0.62,1.49,256.5,29.5,0,1,13.2,13.2,13.2,1.3,72
20140901073500,18.4,88.2,0,0.27,1.04,251.2,0,0,1,13.2,13.2,13.2,1.3,72
20140901074000,18.3,88.8,0,0.53,1.63,258.1,11.5,0,2,13.2,13.2,13.2,1.2,72
20140901074500,18.1,90.1,0,0.24,0.89,283.2,0,0,3,13.2,13.2,13.2,1.1,72
20140901075000,18.1,91,0,0.42,1.19,283,0,0,2,13.2,13.2,13.2,1,72
20140901075500,17.9,91.6,0,0.49,1.34,283,0,0,1,13.2,13.2,13.2,0.9,72
20140901080000,17.8,91.9,0,0.3,1.19,282.7,0,0,1,13.2,13.2,13.2,0.9,72
20140901080500,17.7,92.2,0,0.35,1.63,283.4,0,0,1,13.1,13.2,13.2,0.8,72
20140901081000,17.7,92.2,0,0.57,1.63,274.5,4.3,0,1,13.2,13.2,13.2,0.8,72
20140901081500,17.8,92.2,0,0.41,2.24,277.5,0,0,1,13.2,13.2,13.2,0.8,72
20140901082000,17.7,92.3,0,0.94,2.38,284.9,22.8,0,1,13.2,13.2,13.2,0.8,72
20140901082500,17.5,91.9,0,1.47,4.03,299.1,22.2,0,1,13.2,13.2,13.2,0.9,72
20140901083000,17.4,90.6,0.14,1.46,4.32,325.2,41.3,0,1,13.2,13.2,13.2,1,72
20140901083500,17.3,88.8,0,1.62,4.03,340.5,21.4,0,1,13.2,13.2,13.2,1.2,72
20140901084000,17.4,88.1,0,0.51,1.63,334.6,29.8,0,1,13.2,13.2,13.2,1.3,72
20140901084500,17.2,87.5,0,0.95,2.68,323.3,19,0,1,13.2,13.2,13.2,1.3,72
20140901085000,17.1,86.8,0,1.05,3.43,335.4,25.7,0,1,13.2,13.2,13.2,1.4,72
20140901085500,17.1,86.4,0,0.68,2.24,324.9,28,0,1,13.2,13.2,13.2,1.4,72
20140901090000,17,86.4,0,0.52,2.24,318.6,12.8,0,1,13.2,13.2,13.2,1.4,72
20140901090500,17,86.3,0,0.93,2.53,334.2,28.9,0,1,13.1,13.2,13.2,1.4,72
20140901091000,16.9,86,0.44,1.2,2.53,350.6,21.4,0,1,13.2,13.2,13.2,1.5,72
20140901091500,16.9,85.9,0,0.96,2.98,325.8,7.7,0,1,13.2,13.2,13.2,1.5,72
20140901092000,16.9,85.9,0,0.62,1.63,0.8,20.5,0,1,13.2,13.2,13.2,1.5,72
20140901092500,16.9,85.9,0,0.76,2.83,322.1,27.9,0,1,13.2,13.2,13.2,1.5,72
20140901093000,16.9,85.9,0,0.9,1.63,309.3,27.7,0,1,13.2,13.2,13.2,1.5,72
20140901093500,16.9,86,0,0.52,1.49,341.1,50.1,0,1,13.2,13.2,13.2,1.5,72
20140901094000,16.9,86,0,0.46,1.93,335.3,15.2,0,1,13.2,13.2,13.2,1.5,72
20140901094500,16.8,86,0,0.75,2.53,337.1,17.6,0,1,13.2,13.2,13.2,1.5,72
20140901095000,16.8,86,0,0.54,1.63,325.6,3.1,0,1,13.2,13.2,13.2,1.5,72
20140901095500,16.7,86.4,0,0.49,1.49,308.6,27.1,0,1,13.2,13.2,13.2,1.4,72
20140901100000,16.7,86.7,0,0.44,1.19,321,24.7,0,1,13.2,13.2,13.2,1.4,72
20140901100500,16.6,86.9,0,0.42,1.34,300.2,7.7,0,1,13.1,13.1,13.2,1.4,72
20140901101000,16.5,87.2,0,0.5,1.19,274.4,0,0,1,13.2,13.2,13.2,1.3,72
20140901101500,16.5,87.4,0,0.48,2.38,271.8,16.5,0,1,13.1,13.2,13.2,1.3,72
20140901102000,16.4,87.5,0,0.42,1.19,304.9,1.2,0,1,13.1,13.2,13.2,1.3,72
20140901102500,16.4,87.9,0,0.18,0.89,305.2,0,0,1,13.1,13.2,13.2,1.2,72
20140901103000,16.3,88.1,0,0.16,0.59,305,0,0,1,13.1,13.2,13.2,1.2,72
20140901103500,16.3,88.2,0,0.11,0.74,305.2,0,0,1,13.1,13.2,13.2,1.2,72
20140901104000,16.3,88.2,0,0.28,1.04,305.2,0,0,1,13.1,13.2,13.2,1.2,72
20140901104500,16.3,88.1,0,0.41,1.34,305.2,0,0,1,13.1,13.2,13.2,1.2,72
