
20140902010000,17.73,3395,13216,17.03,19.19,15.03
20140902011500,17.65,3397,13209,16.9,19.19,14.81
20140902013000,17.55,3395,13203,16.76,19.19,14.59
20140902014500,17.46,3395,13203,16.62,19.19,14.4
20140902020000,17.36,3395,13196,16.47,19.19,14.21
20140902021500,17.25,3397,13189,16.32,19.19,14.04
20140902023000,17.14,3397,13182,16.16,19.18,13.97
20140902024500,17.04,3389,13162,16.01,19.16,14.02
20140902030000,16.92,3395,13162,15.86,19.15,14.11
20140902031500,16.81,3397,13156,15.72,19.13,14.19
20140902033000,16.71,3394,13156,15.6,19.12,14.27
20140902034500,16.61,3395,13142,15.5,19.11,14.32
20140902040000,16.53,3397,13135,15.43,19.09,14.38
20140902041500,16.45,3395,13129,15.36,19.08,14.43
20140902043000,16.38,3395,13109,15.3,19.05,14.46
20140902044500,16.32,3392,13088,15.26,19.04,14.48
20140902050000,16.27,3395,13088,15.22,19.02,14.48
20140902051500,16.22,3393,13088,15.2,18.99,14.48
20140902053000,16.18,3395,13095,15.17,18.98,14.48
20140902054500,16.14,3395,13109,15.15,18.96,14.48
20140902060000,16.11,3397,13142,15.14,18.93,14.5
20140902061500,16.07,3394,13189,15.12,18.92,14.53
20140902063000,16.04,3395,13297,15.11,18.89,14.58
20140902064500,16.01,3395,13612,15.09,18.86,14.64
20140902070000,15.98,3397,14136,15.09,18.85,14.67
20140902071500,15.96,3397,14385,15.09,18.83,14.68
20140902073000,15.94,3397,14465,15.09,18.8,14.72
20140902074500,15.93,3398,14364,15.09,18.78,14.79
20140902080000,15.91,3398,14418,15.09,18.75,14.78
20140902081500,15.91,3397,14385,15.11,18.73,14.77
20140902083000,15.91,3397,14290,15.12,18.71,14.85
20140902084500,15.93,3395,14284,15.12,18.7,15.1
20140902090000,15.94,3398,14250,15.15,18.68,15.39
20140902091500,15.98,3398,14264,15.17,18.66,15.81
20140902093000,16.04,3398,14210,15.23,18.63,16.53
20140902094500,16.15,3399,14123,15.33,18.61,17.43
20140902100000,16.29,3399,14116,15.48,18.6,18.27
20140902101500,16.48,3399,14102,15.7,18.59,19.09
20140902103000,16.7,3400,13975,15.97,18.57,19.76
20140902104500,16.94,3400,13995,16.3,18.57,20.18
20140902110000,17.21,3400,13995,16.66,18.56,21.12
20140902111500,17.5,3400,13982,17.04,18.54,21.8
20140902113000,17.77,3400,14002,17.47,18.53,22.25
20140902114500,18.05,3402,13948,17.93,18.53,23.3
20140902120000,18.35,3398,13941,18.4,18.52,23.47
20140902121500,18.66,3402,13948,18.9,18.53,23.62
20140902123000,18.97,3400,13948,19.38,18.54,23.94
20140902124500,19.29,3402,13928,19.84,18.54,24.5
20140902130000,19.59,3402,13888,20.27,18.56,25.21
20140902131500,19.89,3403,13874,20.7,18.57,25.93
20140902133000,20.19,3403,13888,21.14,18.59,26.11
20140902134500,20.49,3403,13948,21.59,18.61,26.03
20140902140000,20.8,3403,13968,22.05,18.64,25.33
20140902141500,21.1,3402,14002,22.45,18.68,24.85
20140902143000,21.36,3402,13941,22.75,18.71,24.5
20140902144500,21.57,3403,13928,22.97,18.75,24.17
20140902150000,21.71,3403,13807,23.13,18.8,24
20140902151500,21.82,3403,13881,23.22,18.83,23.83
20140902153000,21.88,3403,13968,23.28,18.87,23.6
20140902154500,21.91,3402,13995,23.32,18.93,23.35
20140902160000,21.91,3402,14035,23.3,18.98,23.04
20140902161500,21.93,3400,14096,23.26,19.04,22.77
20140902163000,21.9,3400,14109,23.2,19.09,22.49
20140902164500,21.88,3400,14203,23.12,19.14,22.16
20140902170000,21.82,3400,14149,23.02,19.2,21.78
20140902171500,21.75,3400,14163,22.89,19.27,21.47
20140902173000,21.67,3395,14089,22.74,19.33,21.24
20140902174500,21.57,3395,14042,22.58,19.38,20.92
20140902180000,21.47,3399,13968,22.41,19.43,20.61
20140902181500,21.36,3399,13800,22.23,19.48,20.31
20140902183000,21.25,3399,13592,22.04,19.52,20.01
20140902184500,21.13,3398,13391,21.83,19.58,19.72
20140902190000,21.03,3398,13276,21.62,19.62,19.43
20140902191500,20.9,3399,13276,21.41,19.66,19.15
20140902193000,20.76,3399,13303,21.2,19.7,18.89
20140902194500,20.63,3399,13283,20.98,19.74,18.64
20140902200000,20.49,3398,13276,20.77,19.78,18.43
20140902201500,20.35,3399,13297,20.54,19.8,18.23
20140902203000,20.21,3399,13263,20.33,19.83,18.05
20140902204500,20.07,3398,13283,20.12,19.86,17.92
20140902210000,19.94,3398,13276,19.91,19.88,17.81
20140902211500,19.8,3399,13276,19.72,19.91,17.75
20140902213000,19.67,3399,13270,19.54,19.92,17.74
20140902214500,19.55,3398,13263,19.36,19.94,17.72
20140902220000,19.43,3399,13270,19.21,19.96,17.64
20140902221500,19.32,3398,13256,19.07,19.96,17.6
20140902223000,19.22,3398,13256,18.94,19.98,17.51
20140902224500,19.12,3398,13236,18.83,19.98,17.38
20140902230000,19.03,3398,13229,18.71,19.99,17.2
20140902231500,18.94,3397,13216,18.6,19.99,17.06
20140902233000,18.85,3398,13216,18.49,19.99,16.96
20140902234500,18.77,3394,13196,18.38,19.99,16.87
20140903000000,18.69,3397,13203,18.26,19.99,16.77
20140903001500,18.6,3398,13196,18.15,19.99,16.63
20140903003000,18.52,3398,13189,18.05,19.99,16.45
20140903004500,18.44,3397,13182,17.94,19.98,16.29
20140903010000,18.35,3397,13176,17.83,19.97,16.13
20140903011500,18.26,3397,13182,17.71,19.96,15.97
20140903013000,18.18,3397,13176,17.59,19.96,15.83
20140903014500,18.11,3397,13176,17.47,19.95,15.71
20140903020000,18.02,3397,13156,17.35,19.92,15.6
20140903021500,17.93,3397,13169,17.22,19.92,15.52
20140903023000,17.85,3398,13169,17.1,19.91,15.48
20140903024500,17.75,3397,13169,16.99,19.89,15.47
20140903030000,17.68,3398,13162,16.87,19.88,15.48
20140903031500,17.59,3397,13149,16.78,19.87,15.5
20140903033000,17.51,3397,13149,16.69,19.86,15.53
20140903034500,17.45,3397,13129,16.61,19.86,15.57
20140903040000,17.39,3393,13122,16.54,19.85,15.62
20140903041500,17.33,3398,13129,16.48,19.82,15.66
20140903043000,17.29,3397,13122,16.43,19.8,15.67
20140903044500,17.25,3397,13129,16.4,19.79,15.66
20140903050000,17.22,3397,13115,16.37,19.77,15.63
